"","date","county","state","fips","cases","deaths"
"1",2020-01-26,"Los Angeles","California","06037",1,0
"2",2020-01-27,"Los Angeles","California","06037",1,0
"3",2020-01-28,"Los Angeles","California","06037",1,0
"4",2020-01-29,"Los Angeles","California","06037",1,0
"5",2020-01-30,"Los Angeles","California","06037",1,0
"6",2020-01-31,"Los Angeles","California","06037",1,0
"7",2020-02-01,"Los Angeles","California","06037",1,0
"8",2020-02-02,"Los Angeles","California","06037",1,0
"9",2020-02-03,"Los Angeles","California","06037",1,0
"10",2020-02-04,"Los Angeles","California","06037",1,0
"11",2020-02-05,"Los Angeles","California","06037",1,0
"12",2020-02-06,"Los Angeles","California","06037",1,0
"13",2020-02-07,"Los Angeles","California","06037",1,0
"14",2020-02-08,"Los Angeles","California","06037",1,0
"15",2020-02-09,"Los Angeles","California","06037",1,0
"16",2020-02-10,"Los Angeles","California","06037",1,0
"17",2020-02-11,"Los Angeles","California","06037",1,0
"18",2020-02-12,"Los Angeles","California","06037",1,0
"19",2020-02-13,"Los Angeles","California","06037",1,0
"20",2020-02-14,"Los Angeles","California","06037",1,0
"21",2020-02-15,"Los Angeles","California","06037",1,0
"22",2020-02-16,"Los Angeles","California","06037",1,0
"23",2020-02-17,"Los Angeles","California","06037",1,0
"24",2020-02-18,"Los Angeles","California","06037",1,0
"25",2020-02-19,"Los Angeles","California","06037",1,0
"26",2020-02-20,"Los Angeles","California","06037",1,0
"27",2020-02-21,"Los Angeles","California","06037",1,0
"28",2020-02-22,"Los Angeles","California","06037",1,0
"29",2020-02-23,"Los Angeles","California","06037",1,0
"30",2020-02-24,"Los Angeles","California","06037",1,0
"31",2020-02-25,"Los Angeles","California","06037",1,0
"32",2020-02-26,"Los Angeles","California","06037",1,0
"33",2020-02-27,"Los Angeles","California","06037",1,0
"34",2020-02-28,"Los Angeles","California","06037",1,0
"35",2020-02-29,"Los Angeles","California","06037",1,0
"36",2020-03-01,"Los Angeles","California","06037",1,0
"37",2020-03-02,"Los Angeles","California","06037",1,0
"38",2020-03-03,"Los Angeles","California","06037",1,0
"39",2020-03-04,"Los Angeles","California","06037",7,0
"40",2020-03-05,"Los Angeles","California","06037",11,0
"41",2020-03-06,"Los Angeles","California","06037",13,0
"42",2020-03-07,"Los Angeles","California","06037",14,0
"43",2020-03-08,"Los Angeles","California","06037",14,0
"44",2020-03-09,"Los Angeles","California","06037",19,0
"45",2020-03-10,"Los Angeles","California","06037",20,0
"46",2020-03-11,"Los Angeles","California","06037",28,1
"47",2020-03-12,"Los Angeles","California","06037",32,1
"48",2020-03-13,"Los Angeles","California","06037",40,1
"49",2020-03-14,"Los Angeles","California","06037",53,1
"50",2020-03-15,"Los Angeles","California","06037",69,1
"51",2020-03-16,"Los Angeles","California","06037",94,1
"52",2020-03-17,"Los Angeles","California","06037",144,1
"53",2020-03-18,"Los Angeles","California","06037",190,1
"54",2020-03-19,"Los Angeles","California","06037",231,2
"55",2020-03-20,"Los Angeles","California","06037",292,2
"56",2020-03-21,"Los Angeles","California","06037",351,4
"57",2020-03-22,"Los Angeles","California","06037",421,5
"58",2020-03-23,"Los Angeles","California","06037",536,7
"59",2020-03-24,"Los Angeles","California","06037",662,11
"60",2020-03-25,"Los Angeles","California","06037",799,13
"61",2020-03-26,"Los Angeles","California","06037",1216,21
"62",2020-03-27,"Los Angeles","California","06037",1465,27
"63",2020-03-28,"Los Angeles","California","06037",1804,33
"64",2020-03-29,"Los Angeles","California","06037",2136,37
"65",2020-03-30,"Los Angeles","California","06037",2474,44
"66",2020-03-31,"Los Angeles","California","06037",3011,54
"67",2020-04-01,"Los Angeles","California","06037",3518,65
"68",2020-04-02,"Los Angeles","California","06037",4045,78
"69",2020-04-03,"Los Angeles","California","06037",4566,89
"70",2020-04-04,"Los Angeles","California","06037",5277,117
"71",2020-04-05,"Los Angeles","California","06037",5940,132
"72",2020-04-06,"Los Angeles","California","06037",6360,147
"73",2020-04-07,"Los Angeles","California","06037",6910,169
"74",2020-04-08,"Los Angeles","California","06037",7530,198
"75",2020-04-09,"Los Angeles","California","06037",7955,223
